time,u,y
1.901901901901901937e+01,2.900000000000000000e+02,3.128370940440457275e+02
1.911911911911911943e+01,2.900000000000000000e+02,3.128059321824774770e+02
1.921921921921921950e+01,2.900000000000000000e+02,3.127033859043919506e+02
1.931931931931931956e+01,2.900000000000000000e+02,3.126529656421922141e+02
1.941941941941941963e+01,2.900000000000000000e+02,3.127135067399355535e+02
1.951951951951951969e+01,2.900000000000000000e+02,3.126872128370826545e+02
1.961961961961961975e+01,2.900000000000000000e+02,3.127299398831701751e+02
1.971971971971971982e+01,2.900000000000000000e+02,3.126525439790014502e+02
1.981981981981981988e+01,2.900000000000000000e+02,3.126314643409465361e+02
1.991991991991991995e+01,2.900000000000000000e+02,3.127012871715160713e+02
2.002002002002002001e+01,2.900000000000000000e+02,3.126567567117028830e+02
2.012012012012012008e+01,2.900000000000000000e+02,3.125761413102944744e+02
2.022022022022022014e+01,2.900000000000000000e+02,3.126367725579070793e+02
2.032032032032032021e+01,2.900000000000000000e+02,3.125627165419439280e+02
2.042042042042042027e+01,2.900000000000000000e+02,3.125051341927937756e+02
2.052052052052052034e+01,2.900000000000000000e+02,3.124990527122848789e+02
2.062062062062062040e+01,2.900000000000000000e+02,3.125990557688196532e+02
2.072072072072072046e+01,2.900000000000000000e+02,3.124299667481091092e+02
2.082082082082082053e+01,2.900000000000000000e+02,3.125250068364006779e+02
2.092092092092092059e+01,2.900000000000000000e+02,3.126094558575127849e+02
2.102102102102102066e+01,2.900000000000000000e+02,3.124036733966346446e+02
2.112112112112112072e+01,2.900000000000000000e+02,3.123903796991352806e+02
2.122122122122122079e+01,2.900000000000000000e+02,3.125393086152440674e+02
2.132132132132132085e+01,2.900000000000000000e+02,3.126078638725032874e+02
2.142142142142142447e+01,2.900000000000000000e+02,3.124391188474957630e+02
2.152152152152152453e+01,2.900000000000000000e+02,3.123642772874915181e+02
2.162162162162162460e+01,2.900000000000000000e+02,3.124742811195595777e+02
2.172172172172172466e+01,2.900000000000000000e+02,3.125914102337234795e+02
2.182182182182182473e+01,2.900000000000000000e+02,3.125781205777465743e+02
2.192192192192192479e+01,2.900000000000000000e+02,3.125897948145490091e+02
2.202202202202202486e+01,2.900000000000000000e+02,3.127732238004482497e+02
2.212212212212212492e+01,2.900000000000000000e+02,3.126447378757047773e+02
2.222222222222222499e+01,2.900000000000000000e+02,3.126694278422334037e+02
2.232232232232232505e+01,2.900000000000000000e+02,3.125760596217683087e+02
2.242242242242242511e+01,2.900000000000000000e+02,3.126680914940160392e+02
2.252252252252252518e+01,2.900000000000000000e+02,3.127566145425454351e+02
2.262262262262262524e+01,2.900000000000000000e+02,3.128822001936594575e+02
2.272272272272272531e+01,2.900000000000000000e+02,3.127237143828168087e+02
2.282282282282282537e+01,2.900000000000000000e+02,3.128374306680316295e+02
2.292292292292292544e+01,2.900000000000000000e+02,3.127450628854509205e+02
2.302302302302302550e+01,2.900000000000000000e+02,3.127171554848266624e+02
2.312312312312312557e+01,2.900000000000000000e+02,3.127388706522349935e+02
2.322322322322322563e+01,2.900000000000000000e+02,3.125739432970886469e+02
2.332332332332332570e+01,2.900000000000000000e+02,3.125274241221883358e+02
2.342342342342342576e+01,2.900000000000000000e+02,3.126465096253159004e+02
2.352352352352352582e+01,2.900000000000000000e+02,3.126915379519748512e+02
2.362362362362362589e+01,2.900000000000000000e+02,3.125802176508344132e+02
2.372372372372372595e+01,2.900000000000000000e+02,3.124636719532786060e+02
2.382382382382382602e+01,2.900000000000000000e+02,3.124693532459193079e+02
2.392392392392392608e+01,2.900000000000000000e+02,3.125117676950710575e+02
2.402402402402402615e+01,2.900000000000000000e+02,3.126137003457890842e+02
2.412412412412412621e+01,2.900000000000000000e+02,3.126766877310543578e+02
2.422422422422422628e+01,2.900000000000000000e+02,3.128835856522002246e+02
2.432432432432432634e+01,2.900000000000000000e+02,3.128622254585549740e+02
2.442442442442442641e+01,2.900000000000000000e+02,3.128264451897505865e+02
2.452452452452452647e+01,2.900000000000000000e+02,3.127335654683739108e+02
2.462462462462462653e+01,2.900000000000000000e+02,3.128251959740810548e+02
2.472472472472472660e+01,2.900000000000000000e+02,3.127674217060697401e+02
2.482482482482482666e+01,2.900000000000000000e+02,3.127252471079822840e+02
2.492492492492492673e+01,2.900000000000000000e+02,3.126450407354247432e+02
2.502502502502502679e+01,2.930000000000000000e+02,3.133144267311249678e+02
2.512512512512512686e+01,2.930000000000000000e+02,3.137963291373566790e+02
2.522522522522522692e+01,2.930000000000000000e+02,3.140356810029326766e+02
2.532532532532532699e+01,2.930000000000000000e+02,3.143168912594480275e+02
2.542542542542542705e+01,2.930000000000000000e+02,3.146418998977190427e+02
2.552552552552552712e+01,2.930000000000000000e+02,3.148619133248052435e+02
2.562562562562562718e+01,2.930000000000000000e+02,3.150308276989271121e+02
2.572572572572572724e+01,2.930000000000000000e+02,3.150044284308559668e+02
2.582582582582582731e+01,2.930000000000000000e+02,3.150234452652690607e+02
2.592592592592592737e+01,2.930000000000000000e+02,3.152158069474671152e+02
2.602602602602602744e+01,2.930000000000000000e+02,3.151752325430185238e+02
2.612612612612612750e+01,2.930000000000000000e+02,3.153526171670421263e+02
2.622622622622622757e+01,2.930000000000000000e+02,3.154391850731113891e+02
2.632632632632632763e+01,2.930000000000000000e+02,3.155315958728235159e+02
2.642642642642642770e+01,2.930000000000000000e+02,3.155652709468850503e+02
2.652652652652652776e+01,2.930000000000000000e+02,3.154095381626321455e+02
2.662662662662662783e+01,2.930000000000000000e+02,3.155787517197736634e+02
2.672672672672672789e+01,2.930000000000000000e+02,3.154466759806874734e+02
2.682682682682682795e+01,2.930000000000000000e+02,3.154644636920860989e+02
2.692692692692692802e+01,2.930000000000000000e+02,3.154240954340215808e+02
2.702702702702702808e+01,2.930000000000000000e+02,3.153721142044404360e+02
2.712712712712712815e+01,2.930000000000000000e+02,3.152525612718438310e+02
2.722722722722722821e+01,2.930000000000000000e+02,3.152424429991541501e+02
2.732732732732732828e+01,2.930000000000000000e+02,3.152889346030858633e+02
2.742742742742742834e+01,2.930000000000000000e+02,3.154231093177331218e+02
2.752752752752752841e+01,2.930000000000000000e+02,3.155778720110463951e+02
2.762762762762762847e+01,2.930000000000000000e+02,3.156660292668827879e+02
2.772772772772772854e+01,2.930000000000000000e+02,3.156195921162774880e+02
2.782782782782782860e+01,2.930000000000000000e+02,3.156323459052132421e+02
2.792792792792792866e+01,2.930000000000000000e+02,3.155529310575480508e+02
2.802802802802802873e+01,2.930000000000000000e+02,3.156297704706609579e+02
2.812812812812812879e+01,2.930000000000000000e+02,3.154402671741178779e+02
2.822822822822822886e+01,2.930000000000000000e+02,3.155523400794744475e+02
2.832832832832832892e+01,2.930000000000000000e+02,3.155748005893624395e+02
2.842842842842842899e+01,2.930000000000000000e+02,3.155997085054224272e+02
2.852852852852852905e+01,2.930000000000000000e+02,3.156363058704149580e+02
2.862862862862862912e+01,2.930000000000000000e+02,3.156775946887966029e+02
2.872872872872872918e+01,2.930000000000000000e+02,3.157291689854902188e+02
2.882882882882882924e+01,2.930000000000000000e+02,3.158356071507126330e+02
2.892892892892892931e+01,2.930000000000000000e+02,3.157926528772114807e+02
2.902902902902902937e+01,2.930000000000000000e+02,3.157164232012698335e+02
2.912912912912912944e+01,2.930000000000000000e+02,3.155656545960970334e+02
2.922922922922922950e+01,2.930000000000000000e+02,3.156328075898751990e+02
2.932932932932932957e+01,2.930000000000000000e+02,3.156681243112335551e+02
2.942942942942942963e+01,2.930000000000000000e+02,3.156453832971715769e+02
2.952952952952952970e+01,2.930000000000000000e+02,3.156016854180759310e+02
2.962962962962962976e+01,2.930000000000000000e+02,3.157023505611119845e+02
2.972972972972972983e+01,2.930000000000000000e+02,3.156948195450027015e+02
2.982982982982982989e+01,2.930000000000000000e+02,3.158426519199924769e+02
2.992992992992993351e+01,2.930000000000000000e+02,3.158772682871876327e+02
3.003003003003003357e+01,2.930000000000000000e+02,3.158279113319090357e+02
3.013013013013013364e+01,2.930000000000000000e+02,3.158262330824042579e+02
3.023023023023023370e+01,2.930000000000000000e+02,3.159229699965566169e+02
3.033033033033033377e+01,2.930000000000000000e+02,3.157997449648571546e+02
3.043043043043043383e+01,2.930000000000000000e+02,3.156980489724181780e+02
3.053053053053053389e+01,2.930000000000000000e+02,3.155948135485669468e+02
3.063063063063063396e+01,2.930000000000000000e+02,3.157875155633180952e+02
3.073073073073073402e+01,2.930000000000000000e+02,3.157387339149110517e+02
3.083083083083083409e+01,2.930000000000000000e+02,3.158468492712433999e+02
3.093093093093093415e+01,2.930000000000000000e+02,3.158157859320355669e+02
3.103103103103103422e+01,2.930000000000000000e+02,3.157360093748187637e+02
3.113113113113113428e+01,2.930000000000000000e+02,3.157698981574497452e+02
3.123123123123123435e+01,2.930000000000000000e+02,3.158218644052465720e+02
3.133133133133133441e+01,2.930000000000000000e+02,3.157614657923314212e+02
3.143143143143143448e+01,2.930000000000000000e+02,3.157551207480681228e+02
3.153153153153153454e+01,2.930000000000000000e+02,3.157247649621255619e+02
3.163163163163163460e+01,2.930000000000000000e+02,3.158525797012814564e+02
3.173173173173173467e+01,2.930000000000000000e+02,3.158661169313324422e+02
3.183183183183183473e+01,2.930000000000000000e+02,3.160152199964501847e+02
3.193193193193193480e+01,2.930000000000000000e+02,3.160250939167215734e+02
3.203203203203203486e+01,2.930000000000000000e+02,3.157940331218362076e+02
3.213213213213213493e+01,2.930000000000000000e+02,3.156409828033696385e+02
3.223223223223223499e+01,2.930000000000000000e+02,3.156901488634639463e+02
3.233233233233233506e+01,2.930000000000000000e+02,3.157778868612707015e+02
3.243243243243243512e+01,2.930000000000000000e+02,3.158373183884871196e+02
3.253253253253253519e+01,2.930000000000000000e+02,3.158156014395181614e+02
3.263263263263263525e+01,2.930000000000000000e+02,3.158280086042639141e+02
3.273273273273273531e+01,2.930000000000000000e+02,3.157750074289496638e+02
3.283283283283283538e+01,2.930000000000000000e+02,3.157193335821845039e+02
3.293293293293293544e+01,2.930000000000000000e+02,3.157493992101768754e+02
3.303303303303303551e+01,2.930000000000000000e+02,3.157235522927786064e+02
3.313313313313313557e+01,2.930000000000000000e+02,3.156541262529656251e+02
3.323323323323323564e+01,2.930000000000000000e+02,3.157089233513288491e+02
3.333333333333333570e+01,2.930000000000000000e+02,3.157742382818101987e+02
3.343343343343343577e+01,2.930000000000000000e+02,3.156193401943721710e+02
3.353353353353353583e+01,2.930000000000000000e+02,3.156897157829335470e+02
3.363363363363363590e+01,2.930000000000000000e+02,3.155754947309632712e+02
3.373373373373373596e+01,2.930000000000000000e+02,3.154789379461078056e+02
3.383383383383383602e+01,2.930000000000000000e+02,3.154890219029912259e+02
3.393393393393393609e+01,2.930000000000000000e+02,3.154291975168013664e+02
3.403403403403403615e+01,2.930000000000000000e+02,3.155057540335208728e+02
3.413413413413413622e+01,2.930000000000000000e+02,3.155668124159314516e+02
3.423423423423423628e+01,2.930000000000000000e+02,3.156012283657979651e+02
3.433433433433433635e+01,2.930000000000000000e+02,3.158467307805584028e+02
3.443443443443443641e+01,2.930000000000000000e+02,3.157681925319470224e+02
3.453453453453453648e+01,2.930000000000000000e+02,3.157723358927449908e+02
3.463463463463463654e+01,2.930000000000000000e+02,3.158803300877090692e+02
3.473473473473473661e+01,2.930000000000000000e+02,3.158057589756229504e+02
3.483483483483483667e+01,2.930000000000000000e+02,3.156606854151270909e+02
3.493493493493493673e+01,2.930000000000000000e+02,3.155957373905343957e+02
3.503503503503503680e+01,2.930000000000000000e+02,3.156240714025125271e+02
3.513513513513513686e+01,2.930000000000000000e+02,3.155635358215649262e+02
3.523523523523523693e+01,2.930000000000000000e+02,3.155092284411866217e+02
3.533533533533533699e+01,2.930000000000000000e+02,3.153940094926971938e+02
3.543543543543543706e+01,2.930000000000000000e+02,3.152163663744508426e+02
3.553553553553553712e+01,2.930000000000000000e+02,3.152871927626723050e+02
